gid,path
1,wp-content/uploads/2011/08
2,wp-content/gallery/2
3,wp-content/gallery/3
4,wp-content/gallery/4
5,wp-content/gallery/mt_eden
6,wp-content/gallery/albert_park
7,wp-content/gallery/errance_dans_le_centre
8,wp-content/gallery/auckland-museum
9,wp-content/gallery/devonport
10,wp-content/gallery/otara-market
11,wp-content/gallery/croisiere-paihia
12,wp-content/gallery/road-trip-to-the-north-1
13,wp-content/gallery/divers-fin-aout
14,wp-content/gallery/kauri-tree-1
15,wp-content/gallery/mission-bay
16,wp-content/gallery/les-gens
17,wp-content/gallery/mes-fiertes
18,wp-content/gallery/dauphins
19,wp-content/gallery/xtreme
20,wp-content/gallery/kayak
21,wp-content/gallery/paihia-bike
22,wp-content/gallery/paihia-divers
23,wp-content/gallery/kerikeri
24,wp-content/gallery/waipoui
26,wp-content/gallery/paihia-hiking
27,wp-content/gallery/paihia-la-ville
28,wp-content/gallery/cape-reinga
30,wp-content/gallery/tutukaka
31,wp-content/gallery/wharangei
32,wp-content/gallery/rwc-auckland
33,wp-content/gallery/fr-jap
34,wp-content/gallery/fr-can
38,wp-content/gallery/raglan-bush
37,wp-content/gallery/raglan-lodge
39,wp-content/gallery/raglan-beach-and-town
41,wp-content/gallery/waitomo
42,wp-content/gallery/soiree_maori
43,wp-content/gallery/taupo
44,wp-content/gallery/whakarewarewa
45,wp-content/gallery/lake_waka-av_dep
46,wp-content/gallery/lake_waka-etienne
47,wp-content/gallery/lake_waka-thomas
48,wp-content/gallery/lake_waka2-etienne
49,wp-content/gallery/lake_-waka2-thomas
50,wp-content/gallery/lake_waka3-etienne
51,wp-content/gallery/lake_-waka3-thomas
55,wp-content/gallery/rwc_fr-tg
56,wp-content/gallery/rwc_nz-can
57,wp-content/gallery/rwc_fr-eng
58,wp-content/gallery/rwc_vrac-wellington
59,wp-content/gallery/napier
60,wp-content/gallery/blue-duck-station
61,wp-content/gallery/national-park
